HEROP_ID,TotPop,TotUnits,Ovr65P,WhiteP,BlackP,AmIndP,PacIsP,OtherP,PovP,UnempP,VacantP,TotPopHh,TotVetPop,TotWrkE,DisbP,VetP,NonRelFhhP,NonRelNfhhP,MedInc,PciE,GiniCoeff,EduP,HghRskP,HltCrP,RetailP,EssnWrkP,MobileP,LngTermP,RentalP,UnitDens
040US28,2988762,1316108,15.04,58.59,37.67,0.46,0.02,2.31,20.8,8.2,16.0,2892341,168996,1228537,16.3,7.49,2.39,16.52,23725,23434,0.48,9.75,23.72,14.98,11.66,52.91,15.2,28.0,31.8,28.05
040US37,10155624,4573066,15.47,68.87,21.46,1.19,0.07,5.62,15.4,6.3,14.31,9882910,667696,4665822,13.6,8.59,2.52,20.65,27458,29456,0.48,9.12,21.31,13.87,11.74,46.45,13.02,23.31,34.96,94.06
040US40,3918137,1723230,15.04,72.43,7.35,7.52,0.11,10.46,16.0,5.3,14.43,3808014,273677,1761328,16.0,9.3,2.82,20.55,26908,27432,0.47,9.07,22.77,13.34,11.57,48.5,9.42,20.8,34.42,25.12
040US51,8413774,3491091,14.62,68.02,19.17,0.27,0.07,6.15,10.9,5.0,10.39,8169581,684480,4118723,11.6,10.64,2.65,23.92,34014,37763,0.47,9.79,15.34,12.29,10.49,40.0,5.16,23.79,33.8,88.42
040US54,1829054,890715,18.85,93.18,3.65,0.2,0.02,2.16,17.8,6.7,17.52,1781035,134508,742615,19.5,9.25,2.85,19.04,24507,25479,0.46,9.58,19.9,17.89,12.52,51.86,15.08,33.22,27.06,37.05
040US22,4663616,2045554,14.51,62.21,32.23,0.56,0.03,3.26,19.4,6.9,15.13,4534221,250497,2031115,15.0,7.08,2.56,19.99,25737,27027,0.49,9.26,20.89,14.33,11.58,49.81,13.12,26.13,34.73,47.35
040US26,9957488,4580939,16.28,78.52,13.81,0.53,0.03,4.05,15.0,6.5,14.66,9728101,564783,4598487,14.3,7.28,2.75,20.66,28178,30336,0.47,8.53,25.75,14.89,10.97,47.93,5.28,28.54,28.97,80.93
040US25,6830193,2882739,15.79,78.48,7.48,0.21,0.03,7.32,10.8,5.4,9.74,6579553,315859,3570257,11.6,5.8,2.69,24.56,35972,41794,0.48,11.7,15.56,16.51,10.32,39.52,0.82,29.79,37.7,369.52
040US16,1687809,711731,15.04,90.49,0.68,1.35,0.16,5.91,13.8,4.7,13.12,1657779,115045,768701,13.3,9.24,2.66,23.03,26198,26772,0.45,8.98,23.21,13.48,11.99,47.9,8.33,18.47,30.73,8.61
040US12,20598139,9348689,19.73,75.39,16.1,0.28,0.06,5.45,14.8,6.3,18.47,20166501,1452967,9253932,13.4,8.86,3.12,23.96,26895,30197,0.49,7.62,14.18,13.4,12.91,44.53,8.96,19.62,34.99,174.26
040US31,1904760,830749,15.02,87.49,4.77,0.91,0.07,4.44,11.6,3.5,9.23,1852809,120290,993836,11.5,8.43,2.55,20.26,30966,31101,0.44,9.69,22.68,14.55,11.47,45.58,3.42,22.66,33.88,10.81
040US53,7294336,3064381,14.72,76.03,3.7,1.3,0.66,9.98,11.5,5.3,8.61,7151776,537713,3513856,12.7,9.58,3.35,25.61,34148,36888,0.46,8.44,20.0,13.13,11.7,42.96,6.39,19.99,37.28,46.11
040US35,2092434,932818,16.32,74.5,2.06,9.55,0.07,12.31,20.0,7.2,16.85,2049476,148264,882735,15.1,9.33,3.02,19.82,25234,26085,0.48,10.56,16.23,14.7,11.54,46.69,16.96,26.7,32.41,7.69
040US46,864289,387637,15.83,84.47,1.88,8.72,0.03,3.44,13.6,3.5,11.89,830281,59243,442773,11.9,9.14,2.64,19.56,30239,29801,0.45,8.49,25.12,15.85,11.42,47.68,8.7,23.12,31.89,5.11
040US48,27885195,10769900,11.97,74.31,12.07,0.49,0.08,8.36,15.5,5.4,11.3,27285450,1474232,12985624,11.5,7.19,2.43,22.19,29460,30143,0.48,9.53,21.01,12.07,11.42,45.41,7.22,19.28,38.05,41.22
040US06,39148760,14084824,13.58,60.1,5.79,0.76,0.39,18.64,14.3,6.7,7.95,38329281,1618861,18309012,10.6,5.41,3.56,28.27,30797,35021,0.49,8.51,18.55,12.47,10.63,43.26,3.69,23.14,45.35,90.41
040US01,4864680,2244462,16.11,68.19,26.58,0.53,0.04,3.32,17.5,6.6,17.12,4745881,335599,2076708,16.3,8.94,2.11,16.98,25375,26846,0.48,8.9,23.74,13.49,11.76,49.45,13.29,26.54,31.45,44.32
040US13,10297484,4241003,13.13,59.04,31.46,0.33,0.06,5.21,16.0,6.4,12.53,10037150,636725,4721065,12.3,8.22,2.57,21.87,28283,29523,0.48,9.28,19.23,11.55,11.71,44.65,9.04,21.2,36.92,73.48
040US42,12791181,5673599,17.43,80.85,11.13,0.19,0.03,4.45,12.8,5.8,11.43,12366049,782682,6151998,13.9,7.74,2.55,19.4,30142,32889,0.47,9.36,19.92,16.49,11.34,46.51,3.95,32.03,31.0,126.8
040US29,6090062,2775635,16.12,82.24,11.57,0.44,0.11,3.72,14.2,5.1,13.67,5915004,413189,2888094,14.6,8.82,2.78,20.22,28121,29537,0.46,9.2,20.28,14.97,11.79,46.4,6.21,23.81,33.15,40.38
040US08,5531141,2352202,13.39,84.17,4.12,0.99,0.15,7.45,10.9,4.7,10.15,5411306,375746,2839374,10.6,8.87,2.81,27.14,34109,36415,0.46,8.73,17.96,12.03,10.84,40.56,4.13,17.91,35.12,22.7
040US49,3045350,1066131,10.52,86.43,1.18,1.07,0.89,8.14,10.3,3.9,10.18,2998673,123339,1452040,9.6,5.81,2.33,29.84,29559,28239,0.43,10.75,19.97,11.25,11.7,41.16,3.47,19.26,30.14,12.97
040US47,6651089,2930530,15.71,77.67,16.8,0.27,0.06,3.5,16.1,5.9,12.4,6496195,435040,3047809,15.4,8.48,2.52,20.06,26520,28511,0.48,8.46,21.49,14.16,11.97,48.54,9.32,24.05,33.73,71.07
040US56,581836,274985,15.09,91.44,0.95,2.42,0.09,4.29,11.1,4.5,16.13,567639,45389,290963,13.0,10.29,2.69,21.67,31382,32295,0.43,11.21,25.22,12.44,10.95,50.9,13.61,20.47,30.57,2.83
040US36,19618453,8287087,15.64,63.79,15.64,0.41,0.04,11.81,14.6,6.0,11.71,19043605,730557,9445023,11.5,4.73,2.99,21.6,32062,37470,0.51,11.02,12.91,16.64,10.38,42.19,2.33,31.52,46.1,175.86
040US20,2908776,1266378,15.05,84.59,5.84,0.83,0.07,5.8,12.4,4.4,11.2,2828708,181453,1428660,13.0,8.34,2.5,20.39,30095,30757,0.46,10.69,22.97,14.01,10.72,46.12,4.42,22.38,33.68,15.49
040US02,738516,315386,10.62,64.84,3.27,14.44,1.2,9.95,10.8,7.4,19.63,711117,67452,351152,12.0,12.6,4.08,27.51,33413,35874,0.42,9.38,16.63,14.66,10.93,47.8,4.71,21.31,36.02,0.55
040US32,2922849,1235096,14.99,66.21,8.93,1.23,0.66,14.94,13.7,6.9,12.89,2885149,208731,1370603,12.8,9.32,3.63,25.01,30319,29961,0.46,6.42,13.39,9.48,11.81,47.17,5.32,12.76,44.19,11.25
040US17,12821497,5347268,14.78,71.67,14.23,0.25,0.04,8.43,13.1,6.6,9.67,12523597,595185,6225964,10.9,6.03,2.43,20.26,31597,34463,0.48,9.32,19.13,13.59,10.76,44.11,2.46,26.47,33.97,96.32
040US50,624977,333013,18.17,94.33,1.29,0.34,0.03,2.32,11.2,4.1,22.05,599602,38625,328742,14.4,7.63,3.24,23.21,30486,33238,0.45,13.0,20.99,15.53,11.81,44.75,6.87,31.35,29.28,36.13
040US30,1041732,505685,17.65,88.86,0.44,6.46,0.07,3.4,13.7,4.2,16.3,1012863,85480,507249,13.6,10.54,2.64,22.55,27115,29765,0.46,8.92,20.61,14.45,11.72,47.49,10.94,23.65,32.3,3.47
040US19,3132499,1386722,16.39,90.28,3.51,0.37,0.1,3.35,11.7,3.9,9.37,3032415,188867,1609481,11.6,7.87,2.64,21.51,30824,31085,0.44,10.02,25.91,14.38,11.69,47.68,3.73,24.69,28.86,24.83
040US45,4955925,2256951,16.73,67.25,27.03,0.34,0.06,3.81,16.0,6.4,16.05,4819128,366862,2227307,14.7,9.58,2.39,20.27,26348,27986,0.47,8.84,22.52,12.81,12.12,48.29,16.45,24.86,31.11,75.07
040US33,1343622,630955,16.97,93.03,1.53,0.16,0.03,2.57,7.9,4.0,16.3,1301042,97644,724017,12.6,9.05,3.01,23.29,34508,38548,0.44,9.99,20.88,14.66,12.45,42.36,5.63,28.72,29.03,70.47
040US04,6946685,2970935,16.67,77.22,4.39,4.46,0.2,10.43,16.1,6.5,15.03,6790680,487684,3045978,12.9,9.21,3.18,24.65,28815,29265,0.47,8.85,16.15,13.02,12.16,44.14,10.47,16.73,36.38,26.15
040US11,684498,311545,11.94,40.97,46.94,0.29,0.05,7.84,16.8,7.4,9.7,644878,26936,369194,11.8,4.81,3.7,29.71,46436,53321,0.53,9.54,4.46,9.0,4.68,24.96,0.07,21.43,58.21,5095.99
040US34,8881845,3605401,15.5,67.91,13.47,0.21,0.04,9.0,10.4,6.1,10.87,8697059,333835,4390602,10.4,4.84,2.42,18.75,36411,40895,0.48,9.98,15.08,13.83,11.01,39.55,0.95,28.76,36.07,490.24
040US24,6003435,2437740,14.58,56.19,29.78,0.26,0.05,7.48,9.4,5.6,10.06,5862883,372462,3051333,10.9,8.04,2.97,22.1,38749,40517,0.45,9.93,12.35,13.87,9.55,39.0,1.42,26.36,33.23,251.03
040US23,1332813,739077,19.45,94.48,1.34,0.62,0.02,2.41,12.5,4.6,24.64,1296802,107091,665188,15.9,9.95,3.42,22.32,28070,31253,0.45,10.58,19.07,17.16,13.21,47.02,8.3,30.39,27.8,23.96
040US15,1422029,539053,17.3,25.01,1.85,0.21,10.08,25.11,9.9,4.5,15.26,1377998,105563,677446,11.2,9.82,4.36,24.77,34016,34035,0.44,9.09,12.73,11.42,11.53,46.34,0.2,32.17,41.69,83.93
040US10,949495,428251,17.6,68.97,22.11,0.36,0.05,4.64,11.9,5.9,16.46,924444,66590,450946,12.3,8.96,2.8,22.04,32357,33989,0.45,9.71,16.89,15.11,12.16,43.57,8.26,25.16,28.92,219.81
040US44,1056611,467412,16.49,80.87,6.55,0.52,0.08,8.6,13.1,6.1,12.09,1014869,57524,527972,13.6,6.81,2.77,20.94,31145,34619,0.47,11.15,17.31,16.19,12.14,44.91,0.97,29.29,39.75,452.09
040US21,4440204,1974406,15.57,87.08,7.98,0.22,0.06,3.24,17.9,6.1,12.45,4309065,273675,1959442,17.4,8.02,2.75,20.0,25702,26948,0.48,9.52,23.58,14.23,11.93,50.61,12.0,25.59,33.03,50.0
040US39,11641879,5188270,16.26,81.51,12.35,0.2,0.03,3.75,14.5,5.8,10.3,11327784,729649,5549577,14.0,8.09,2.76,19.06,28814,30304,0.47,8.57,22.44,15.55,11.51,47.87,3.77,27.45,34.01,126.97
040US55,5778394,2681232,16.0,85.59,6.38,0.87,0.03,4.36,11.9,4.0,12.61,5631740,342796,2964540,11.8,7.64,2.66,21.91,30918,32018,0.45,8.59,27.0,14.81,11.09,48.35,3.47,26.32,33.08,49.5
040US41,4081943,1750539,16.72,84.42,1.91,1.15,0.39,7.86,14.1,6.0,9.07,3993967,288540,1934643,14.5,8.99,3.73,27.21,29065,32045,0.46,8.41,21.52,14.51,11.71,44.92,8.06,19.82,38.09,18.24
040US38,752201,367684,14.61,87.11,2.72,5.25,0.05,3.43,10.9,2.8,14.35,726653,46524,400841,10.8,8.13,2.46,20.94,34036,35373,0.46,8.93,24.94,16.2,11.19,47.83,7.28,21.62,37.33,5.33
040US05,2990671,1362040,16.3,77.0,15.41,0.67,0.27,5.18,17.6,5.5,15.41,2906459,202572,1292263,17.2,8.88,2.5,18.55,24977,25635,0.48,9.51,24.09,14.97,13.3,50.99,12.27,21.68,34.35,26.18
040US18,6637426,2870670,15.01,83.59,9.33,0.22,0.04,4.62,14.1,5.4,11.04,6449747,390220,3164414,13.8,7.71,2.78,20.83,28562,28461,0.45,9.11,27.0,13.81,11.09,50.51,4.85,24.92,31.05,80.13
040US27,5527358,2420473,15.02,83.33,6.19,1.07,0.04,4.62,10.1,3.9,10.44,5394498,310097,2931458,10.8,7.32,2.65,22.91,34446,36245,0.45,9.0,22.13,16.24,11.03,43.82,3.34,26.08,28.44,30.4
040US09,3581504,1512305,16.41,76.36,10.56,0.27,0.03,8.34,10.0,6.5,9.58,3466662,173998,1810445,11.0,6.17,2.59,19.7,36515,43056,0.5,10.91,17.6,15.58,10.6,40.28,0.78,29.97,33.66,312.29
